oracle_usuario_id,tipo_evento,ip,user_agent,pais_origen,timestamp,detalle.metodo,detalle.exitoso,detalle.duracion_sesion_min,detalle.termino,detalle.resultados_encontrados,detalle.perfil_visitado_id,detalle.tiempo_visualizacion_seg,detalle.desde_seccion,detalle.torneo_id,detalle.accion,detalle.item_id,detalle.categoria,detalle.seccion,detalle.campo_modificado,detalle.destinatario_id
1,login,190.100.1.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Honduras,2025-11-05T04:24:59.316Z,google,false,,,,,,,,,,,,,
2,logout,190.101.2.8,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Mexico,2026-02-11T04:05:48.405Z,,,78,,,,,,,,,,,,
3,busqueda,190.102.3.15,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Guatemala,2026-02-10T01:42:38.359Z,,,,FIFA 24 equipos,5,,,,,,,,,,
4,perfil_visitado,190.103.4.22,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,El Salvador,2025-12-04T19:44:15.003Z,,,,,,19,57,perfil,,,,,,,
5,clic_torneo,190.104.5.29,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Costa Rica,2026-01-06T06:39:26.940Z,,,,,,,,inicio,5,inscribirse,,,,,
6,clic_tienda,190.105.6.36,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Panama,2025-10-09T05:24:29.137Z,,,,,,,,,,agregar_carrito,6,creditos,,,
7,cambio_config,190.106.7.43,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Colombia,2026-01-26T05:46:21.935Z,,,,,,,,,,,,,notificaciones,mostrar_perfil,
8,envio_solicitud_amistad,190.107.8.50,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Argentina,2026-03-08T15:02:22.469Z,,,,,,,,equipos,,,,,,,28
9,login,190.108.9.57,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Chile,2026-01-18T11:49:16.594Z,email,true,,,,,,,,,,,,,
10,logout,190.109.10.64,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Peru,2025-10-23T23:38:43.375Z,,,162,,,,,,,,,,,,
11,busqueda,190.110.11.71,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Espana,2026-02-13T11:01:59.256Z,,,,league of legends,43,,,,,,,,,,
12,perfil_visitado,190.111.12.78,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Estados Unidos,2026-01-17T13:00:44.309Z,,,,,,27,38,torneos,,,,,,,
13,clic_torneo,190.112.13.85,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Brasil,2026-03-19T18:44:16.768Z,,,,,,,,perfil,13,ver_detalle,,,,,
14,clic_tienda,190.113.14.92,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Honduras,2026-03-10T09:53:30.885Z,,,,,,,,,,agregar_carrito,14,avatar,,,
15,cambio_config,190.114.15.99,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Mexico,2026-01-26T21:25:51.193Z,,,,,,,,,,,,,seguridad,2fa,
16,envio_solicitud_amistad,190.115.16.106,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Guatemala,2025-11-26T01:21:53.204Z,,,,,,,,configuracion,,,,,,,36
17,login,190.116.17.113,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,El Salvador,2026-01-01T03:47:15.119Z,email,true,,,,,,,,,,,,,
18,logout,190.117.18.120,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Costa Rica,2026-03-16T17:54:59.737Z,,,42,,,,,,,,,,,,
19,busqueda,190.118.19.127,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Panama,2025-12-03T12:41:33.105Z,,,,valorant torneo,14,,,,,,,,,,
20,perfil_visitado,190.119.20.134,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Colombia,2025-11-18T23:38:50.711Z,,,,,,35,91,tienda,,,,,,,
21,clic_torneo,190.120.21.141,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Argentina,2026-02-26T22:29:24.640Z,,,,,,,,torneos,21,compartir,,,,,
22,clic_tienda,190.121.22.148,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Chile,2026-03-08T16:58:10.532Z,,,,,,,,,,agregar_carrito,8,membresia,,,
23,cambio_config,190.122.23.155,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Peru,2025-10-14T06:43:28.879Z,,,,,,,,,,,,,apariencia,notif_email,
24,envio_solicitud_amistad,190.123.24.162,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Espana,2025-11-06T17:48:51.687Z,,,,,,,,amigos,,,,,,,44
25,login,190.124.25.169,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Estados Unidos,2026-01-15T23:06:39.782Z,google,true,,,,,,,,,,,,,
26,logout,190.125.26.176,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Brasil,2025-10-02T04:37:59.287Z,,,129,,,,,,,,,,,,
27,busqueda,190.126.27.183,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Honduras,2025-12-20T02:00:27.942Z,,,,torneos gratis,27,,,,,,,,,,
28,perfil_visitado,190.127.28.190,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Mexico,2025-12-04T21:34:35.044Z,,,,,,43,39,ranking,,,,,,,
29,clic_torneo,190.128.29.197,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Guatemala,2026-02-02T23:32:28.813Z,,,,,,,,tienda,29,inscribirse,,,,,
30,clic_tienda,190.129.30.204,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,El Salvador,2025-10-31T17:32:13.030Z,,,,,,,,,,agregar_carrito,2,banner,,,
31,cambio_config,190.130.31.211,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Costa Rica,2026-01-18T08:52:40.727Z,,,,,,,,,,,,,privacidad,tema_oscuro,
32,envio_solicitud_amistad,190.131.32.218,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Panama,2025-10-01T05:59:45.392Z,,,,,,,,inicio,,,,,,,52
33,login,190.132.33.225,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Colombia,2026-02-05T06:07:22.028Z,email,true,,,,,,,,,,,,,
34,logout,190.133.34.232,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Argentina,2026-01-02T16:18:25.116Z,,,109,,,,,,,,,,,,
35,busqueda,190.134.35.239,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Chile,2025-10-25T11:18:43.394Z,,,,mejores builds,15,,,,,,,,,,
36,perfil_visitado,190.135.36.246,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Peru,2025-09-28T15:46:11.078Z,,,,,,51,59,juegos,,,,,,,
37,clic_torneo,190.136.37.253,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Espana,2026-02-17T13:01:18.693Z,,,,,,,,ranking,37,ver_detalle,,,,,
38,clic_tienda,190.137.38.6,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,Estados Unidos,2025-09-25T17:21:47.650Z,,,,,,,,,,agregar_carrito,10,servicio,,,
39,cambio_config,190.138.39.13,Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15,Brasil,2025-12-31T14:39:30.345Z,,,,,,,,,,,,,idioma,idioma_preferido,
40,envio_solicitud_amistad,190.139.40.20,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Honduras,2025-10-14T03:21:49.204Z,,,,,,,,perfil,,,,,,,60
41,login,190.140.41.27,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/122.0.0.0,Mexico,2026-02-09T06:07:16.720Z,email,false,,,,,,,,,,,,,
42,logout,190.141.42.34,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 Safari/17.3,Guatemala,2025-10-07T13:13:49.772Z,,,126,,,,,,,,,,,,
43,busqueda,190.142.43.41,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/121.0.0.0,El Salvador,2025-11-05T20:43:50.532Z,,,,como subir xp,16,,,,,,,,,,
