oracle_torneo_id,oracle_usuario_id,calificacion,comentario,tags,recomendaria,timestamp
1,8,5,"Excelente torneo, muy bien organizado!","[""buen_formato"",""competitivo"",""estresante"",""premios_tardios""]",true,2025-12-28T17:58:36.913Z
2,11,3,"Torneo aceptable, los horarios fueron un poco incómodos","[""desorganizado"",""buen_formato"",""estresante""]",true,2026-02-16T22:44:40.763Z
3,14,4,Los premios fueron justos y la competencia fue genial,"[""divertido"",""premios_tardios"",""mala_comunicacion"",""mal_matchmaking""]",true,2025-11-27T02:04:59.910Z
4,17,4,"Me gustó mucho el formato, fue muy emocionante","[""buen_formato"",""lag"",""mala_comunicacion"",""mal_matchmaking""]",true,2026-01-17T13:36:10.624Z
5,20,3,Podría mejorar la comunicación previa al torneo,"[""divertido"",""competitivo"",""premios_justos""]",true,2025-12-05T12:54:15.252Z
6,23,4,El mejor torneo en el que he participado,"[""servidores_caidos"",""divertido"",""buen_formato""]",true,2026-03-17T13:20:53.512Z
7,26,4,"Organización impecable, sin problemas técnicos","[""casual"",""excelente_transmision"",""buen_premio"",""buena_organizacion""]",true,2026-01-26T02:03:48.407Z
8,29,5,Muy buena transmisión y comunicación del staff,"[""emocionante"",""buen_matchmaking""]",true,2026-02-20T19:58:42.067Z
9,32,5,"Excelente torneo, muy bien organizado!","[""competitivo"",""excelente_transmision"",""buen_formato"",""premios_tardios""]",true,2025-11-16T09:05:20.072Z
10,35,1,Los premios no se entregaron a tiempo,"[""excelente_transmision"",""divertido"",""desorganizado"",""premios_justos""]",false,2026-03-14T04:50:31.932Z
11,38,5,Los premios fueron justos y la competencia fue genial,"[""emocionante"",""lag""]",true,2026-01-08T15:55:39.831Z
12,41,2,"El matchmaking fue terrible, equipos muy desbalanceados","[""estresante"",""buen_formato"",""excelente_transmision""]",false,2025-12-15T14:05:06.921Z
13,44,4,"Increíble nivel de juego, lo recomiendo al 100%","[""mal_matchmaking"",""estresante"",""lag"",""buena_organizacion""]",true,2025-12-14T06:17:02.356Z
14,47,4,El mejor torneo en el que he participado,"[""sin_lag"",""casual"",""emocionante""]",true,2025-11-26T04:52:59.791Z
15,50,4,"Organización impecable, sin problemas técnicos","[""buen_premio"",""divertido""]",true,2025-11-11T03:11:01.838Z
16,53,4,Muy buena transmisión y comunicación del staff,"[""desorganizado"",""estresante"",""buen_formato"",""competitivo""]",true,2025-10-06T02:45:26.131Z
17,56,5,"Excelente torneo, muy bien organizado!","[""mala_comunicacion"",""sin_lag"",""desorganizado"",""buen_premio""]",true,2025-12-17T19:07:56.738Z
18,59,4,"Buena experiencia, volvería a participar","[""buen_formato"",""sin_lag"",""estresante""]",true,2025-10-17T23:32:08.837Z
19,2,4,Los premios fueron justos y la competencia fue genial,"[""buena_organizacion"",""buen_formato""]",true,2025-10-07T11:22:34.540Z
20,5,3,Podría mejorar la comunicación previa al torneo,"[""excelente_transmision"",""sin_lag"",""servidores_caidos""]",true,2025-12-30T03:06:49.336Z
21,8,5,"Increíble nivel de juego, lo recomiendo al 100%","[""sin_lag"",""competitivo""]",true,2026-01-14T23:35:23.405Z
22,11,3,"Torneo aceptable, los horarios fueron un poco incómodos","[""estresante"",""buen_formato"",""emocionante"",""premios_justos""]",true,2026-03-25T13:26:59.701Z
23,14,5,"Organización impecable, sin problemas técnicos","[""excelente_transmision"",""emocionante"",""buen_matchmaking"",""mal_matchmaking""]",true,2025-11-02T07:49:16.186Z
